"";"position";"rank";"name";"uri";"imageUri";"industry";"country";"revenue";"marketValue";"headquarters";"ceo";"profits";"assets";"state";"thumbnail";"squareImage"
"20";12;12;"AT&T";"att";"att";"Telecommunications services";"United States";170805;233325;"Texas";"Randall L. L. Stephenson";19370;531864;"Texas";"http://specials-images.forbesimg.com/imageserve/5c13d425a7ea4370591a5bd0/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5c13d425a7ea4370591a5bd0/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"21";775;775;"ATOS";"atos";"atos";"Computer Services";"France";14461;11341;"France";"Thierry Breton";743;24665;NA;NA;NA
"22";1878;1878;"AU Optronics";"au-optronics";"au-optronics";"Electronics";"Taiwan";10202;3526;"Taiwan";"Shuang Lang Peng";337;13333;NA;NA;NA
"23";1299;1299;"AVIC Capita";"avic-capita";"no-pic";"Investment Services";"China";2334;8675;"China";"Hong Wei Zhao";478;43740;NA;NA;NA
"24";1974;1974;"AVIC International Holdings";"avic-international-holdings";"no-pic";"Aerospace & Defense";"China";8194;809;"China";"Wei Xuan Lai";-85;14753;NA;NA;NA
"25";85;85;"AXA Group";"axa-group";"axa-group";"Diversified Insurance";"France";139662;63602;"France";"Thomas Buberl";2216;1034487;NA;NA;NA
"26";1780;1780;"Aareal Bank";"aareal-bank";"aareal-bank";"Thrifts & Mortgage Finance";"Germany";1419;2082;"Germany";"Hermann Josef Merkens";245;48798;NA;NA;NA
"27";167;167;"AbbVie";"abbvie";"abbvie";"Pharmaceuticals";"United States";32753;114662;"Illinois";"Richard A. A. Gonzalez";5657;59352;"Illinois";NA;NA
"28";197;197;"Abbott Laboratories";"abbott-laboratories";"abbott-laboratories";NA;"United States";30723;129838;"Illinois";"Miles D. D. White";2609;67173;"Illinois";NA;NA
"29";661;661;"Absa Group";"absa-group";"no-pic";"Major Banks";"South Africa";9663;9868;"South Africa";"René van Wyk";1050;89589;NA;NA;NA
"30";784;784;"Abu Dhabi Commercial Bank";"abu-dhabi-commercial";"abu-dhabi-commercial";"Regional Banks";"United Arab Emirates";3895;13591;"United Arab Emirates";"Ala'a Mohamed Atta Khalil Eraiqat";1270;76183;NA;NA;NA
"31";1473;1473;"Abu Dhabi Islamic Bank";"abu-dhabi-islamic-bank";"abu-dhabi-islamic-bank";"Regional Banks";"United Arab Emirates";1909;4796;"United Arab Emirates";"Mazin Manna";592;34084;NA;NA;NA
"32";248;248;"Accenture";"accenture";"accenture";"Computer Services";"Ireland";42541;113923;"Ireland";"Julie Sweet";4472;27390;NA;"http://specials-images.forbesimg.com/imageserve/5a32a4a031358e6e1b1d6ecf/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5a32a4a031358e6e1b1d6ecf/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"33";1653;1653;"Acciona";"acciona";"acciona";"Construction Services";"Spain";8860;5953;"Spain";"José Manuel Entrecanales";386;17076;NA;NA;NA
"34";1041;1041;"Accor";"accor";"accor";"Hotels & Motels";"France";4259;11952;"France";"Sébastien Bazin";2634;14766;NA;NA;NA
"35";679;679;"Activision Blizzard";"activision-blizzard";"activision-blizzard";"Recreational Products";"United States";7492;34609;"California";"Robert """"Bobby"""" A. Kotick";1812;17835;"California";NA;NA
"36";1706;1706;"Adani Ports & Special Economic Zone";"adani-ports-special-economic-zone";"no-pic";"Other Transportation";"India";1611;11649;"India";"Karan G Adani";531;6972;NA;"http://specials-images.forbesimg.com/imageserve/5d5ee3ea68cb0a000917d7f6/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d5ee3ea68cb0a000917d7f6/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"37";1037;1037;"Adecco";"adecco";"adecco";"Business & Personal Services";"Switzerland";28163;9692;"Switzerland";"Alain Dehaze";544;11109;NA;"http://specials-images.forbesimg.com/imageserve/5ba5573f4bbe6f79516f6172/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5ba5573f4bbe6f79516f6172/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"38";430;430;"Adidas";"adidas";"adidas";"Apparel/Accessories";"Germany";25854;51987;"Germany";"Kasper Bo Rørsted";2008;17847;NA;"http://specials-images.forbesimg.com/imageserve/580a34b431358e238315ebe2/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5801250831358e6da6d7fa36/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"39";1760;1760;"Adient";"adient";"no-pic";"Auto & Truck Parts";"Ireland";17393;2423;"Ireland";"Douglas G. DelGrosso";-1486;10358;NA;NA;NA
"40";505;505;"Adobe";"adobe";"adobe";"Software & Programming";"United States";9496;132025;"California";"Shantanu Narayen";2682;19506;"California";"http://specials-images.forbesimg.com/imageserve/5b92908ca7ea434b99d5a010/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5b92908ca7ea434b99d5a010/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"41";1354;1354;"Advance Auto Parts";"advance-auto-parts";"advance-auto-parts";"Specialty Stores";"United States";9581;12571;"Virginia";"Thomas R. R. Greco";424;9041;"Virginia";NA;NA
"42";1211;1211;"Advanced Info Service";"advanced-info-service";"advanced-info-service";"Telecommunications services";"Thailand";5254;17889;"Thailand";"Somchai Lertsutiwong";918;8925;NA;NA;NA
"43";1417;1417;"Advanced Micro Devices";"advanced-micro-devices";"advanced-micro-devices";"Semiconductors";"United States";6475;29938;"California";"Lisa T. Su";337;4556;"California";NA;NA
"44";1744;1744;"Advanz Pharma";"advanz-pharma";"no-pic";NA;"Canada";536;837;"Canada";"Graeme Neville Duncan";1483;1831;NA;NA;NA
